waktu,suhu,getaran,oli,health,status
12/25/2025 15:08:20,32.25,1,1,100,AMAN
12/25/2025 15:08:18,32.25,1,1,100,AMAN
12/25/2025 15:08:17,31.75,1,1,100,AMAN
12/25/2025 15:08:15,31.75,1,1,100,AMAN
12/25/2025 15:07:58,32.25,1,1,100,AMAN
12/25/2025 15:07:52,32.25,1,1,100,AMAN
12/25/2025 15:07:46,31.75,1,1,100,AMAN
12/25/2025 15:07:40,32,1,1,100,AMAN
12/25/2025 15:07:35,32,1,1,100,AMAN
12/25/2025 15:07:29,32.25,1,1,100,AMAN
12/25/2025 15:07:24,31.75,1,1,100,AMAN
12/25/2025 15:07:18,32,1,1,100,AMAN
12/25/2025 15:07:13,31.75,1,1,100,AMAN
12/25/2025 15:07:07,31.75,1,1,100,AMAN
12/25/2025 15:07:01,32.25,1,1,100,AMAN
12/25/2025 15:06:57,31.75,1,1,100,AMAN
12/25/2025 15:06:51,31.75,1,1,100,AMAN
12/25/2025 15:06:45,32.25,1,1,100,AMAN
12/25/2025 15:06:39,32.25,1,1,100,AMAN
12/25/2025 15:06:37,32.25,1,1,100,AMAN
12/25/2025 15:06:29,31.75,1,1,100,AMAN
12/25/2025 15:06:24,32,1,1,100,AMAN
12/25/2025 15:06:20,32,1,1,100,AMAN
12/25/2025 15:06:13,32.25,1,1,100,AMAN
12/25/2025 15:06:07,32.25,1,1,100,AMAN
12/25/2025 15:06:01,32,1,1,100,AMAN
12/25/2025 15:05:56,31.25,1,1,100,AMAN
12/25/2025 15:05:49,32.25,1,1,100,AMAN
12/25/2025 15:05:46,32,1,1,100,AMAN
12/25/2025 15:05:39,32,1,1,100,AMAN
12/25/2025 15:05:33,31.75,1,1,100,AMAN
12/25/2025 15:05:28,32,1,1,100,AMAN
12/25/2025 15:05:22,32.25,1,1,100,AMAN
12/25/2025 15:05:17,32,1,1,100,AMAN
12/25/2025 15:05:11,31.5,1,1,100,AMAN
12/25/2025 15:05:06,31.75,1,1,100,AMAN
12/25/2025 15:05:00,31.75,1,1,100,AMAN
12/25/2025 15:04:55,31.75,1,1,100,AMAN
12/25/2025 15:04:50,32.25,1,1,100,AMAN
12/25/2025 15:04:44,32,1,1,100,AMAN
12/25/2025 15:04:38,32,1,1,100,AMAN
12/25/2025 15:04:33,31.75,1,1,100,AMAN
12/25/2025 15:04:27,32.25,1,1,100,AMAN
12/25/2025 15:04:27,32,1,1,100,AMAN
12/25/2025 15:04:19,32,1,1,100,AMAN
12/25/2025 15:04:15,31.75,1,1,100,AMAN
12/25/2025 15:04:05,32.25,1,1,100,AMAN
12/25/2025 15:04:00,32.25,1,1,100,AMAN
12/25/2025 15:03:54,31.75,1,1,100,AMAN
12/25/2025 15:03:49,32.25,1,1,100,AMAN
12/25/2025 15:03:43,32.25,1,1,100,AMAN
12/25/2025 15:03:38,31.75,1,1,100,AMAN
12/25/2025 15:03:32,31.75,1,1,100,AMAN
12/25/2025 15:03:27,32.5,1,1,100,AMAN
12/25/2025 15:03:20,31.75,1,1,100,AMAN
12/25/2025 15:03:16,32.25,1,1,100,AMAN
12/25/2025 15:03:10,32,1,1,100,AMAN
12/25/2025 15:03:05,31.75,1,1,100,AMAN
12/25/2025 15:02:59,31.75,1,1,100,AMAN
12/25/2025 15:02:53,32.25,1,1,100,AMAN
12/25/2025 15:02:48,32.25,1,1,100,AMAN
12/25/2025 15:02:43,32,1,1,100,AMAN
12/25/2025 15:01:58,32,1,1,100,AMAN
12/25/2025 15:01:55,32,1,1,100,AMAN
12/25/2025 15:01:48,32.25,1,1,100,AMAN
12/25/2025 15:01:42,31.5,1,1,100,AMAN
12/25/2025 15:01:40,32.25,1,1,100,AMAN
12/25/2025 15:01:32,32.25,1,1,100,AMAN
12/25/2025 15:01:26,31.75,1,1,100,AMAN
12/25/2025 15:01:20,32.25,1,1,100,AMAN
12/25/2025 15:01:14,32.25,1,1,100,AMAN
12/25/2025 15:01:08,31.75,1,1,100,AMAN
12/25/2025 15:01:05,32,1,1,100,AMAN
12/25/2025 15:00:58,32.25,1,1,100,AMAN
12/25/2025 15:00:54,32.25,1,1,100,AMAN
12/25/2025 15:00:47,31.25,1,1,100,AMAN
12/25/2025 15:00:43,32,1,1,100,AMAN
12/25/2025 15:00:36,31.75,1,1,100,AMAN
12/25/2025 15:00:30,31.75,1,1,100,AMAN
12/25/2025 15:00:29,32.25,1,1,100,AMAN
12/25/2025 15:00:20,32,1,1,100,AMAN
12/25/2025 15:00:15,32.25,1,1,100,AMAN
12/25/2025 15:00:08,32.25,1,1,100,AMAN
12/25/2025 15:00:07,32.25,1,1,100,AMAN
12/25/2025 15:00:01,32.25,1,1,100,AMAN
12/25/2025 14:59:53,32.25,1,1,100,AMAN
12/25/2025 14:59:46,32.25,1,1,100,AMAN
12/25/2025 14:59:40,31.75,1,1,100,AMAN
12/25/2025 14:59:35,31.5,1,1,100,AMAN
